username,comment,rating,likes,create_time,comment_clean,tokens,tokens_count,sentiment,sentiment_confidence,text_len,char_repeat_ratio,token_repeat_ratio,dup_score,mismatch,fake_score,fake_pred
s*****4,"Sangat bagus, seperti baruu tidak ada lecet sama sekalia recommended bgt yang mau beli second terpercaya pengirimanya juga cepat. Penjualnya responsive banget packagingnya juga oke banget jadi aman banget pas sampai chargeran juga udh fullset dpt free tas leptop juga lagi. Pokoknya mantep good jobb!!",5,16,1754521500,sangat bagus seperti baruu tidak ada lecet sama sekalia recommended bgt yang mau beli second terpercaya pengirimanya juga cepat penjualnya responsive banget packagingnya juga oke banget jadi aman banget pas sampai chargeran juga udh fullset dpt free tas leptop juga lagi pokoknya mantep good jobb,sangat bagus seperti baruu tidak ada lecet sama sekalia recommended bgt yang mau beli second terpercaya pengirimanya juga cepat penjualnya responsive banget packagingnya juga oke banget jadi aman banget pas sampai chargeran juga udh fullset dpt free tas leptop juga lagi pokoknya mantep good jobb,45,positive,0.75,296,0.02027027027027027,0.15555555555555556,0.0,0.0,0.04395645645645646,0
ariwija,"Desain:keren, tipis
Kondisi Barang:Lus mulus
Kualitas:Second terasa Baru...

Recomended Seller...pake banget...
Sudah 2 kali beli disini dan selalu puas...
Gercep,dapat diskon pas live, selalu dapat bonus juga...
Packaging aman, kardus luar tebal dan double wrapping di laptop dan pengirimannya cepat bingit...mantaf....
Next mau order lagi buat anak kedua...
Mantaf pokoknya...
Sukses dan berkah selalu buat DNA 17 Com, aamiin...",5,14,1761891708,desain keren tipis kondisi barang lus mulus kualitas second terasa baru recomended seller pake banget sudah 2 kali beli disini dan selalu puas gercep dapat diskon pas live selalu dapat bonus juga packaging aman kardus luar tebal dan double wrapping di laptop dan pengirimannya cepat bingit mantaf next mau order lagi buat anak kedua mantaf pokoknya sukses dan berkah selalu buat dna 17 com aamiin,desain keren tipis kondisi barang lus mulus kualitas second terasa baru recomended seller pake banget sudah 2 kali beli disini dan selalu puas gercep dapat diskon pas live selalu dapat bonus juga packaging aman kardus luar tebal dan double wrapping di laptop dan pengirimannya cepat bingit mantaf next mau order lagi buat anak kedua mantaf pokoknya sukses dan berkah selalu buat dna 17 com aamiin,65,positive,0.75,396,0.012626262626262626,0.2,0.0,0.0,0.05315656565656566,0
g*****a,"Fitur Terbaik:7270 i5 ram8/128gb
Sepadan dengan Harga:Good sesuai

Semua berjalan normal. Sesuai yg ada di deskripsi kok.. Thanks seller..",5,3,1742014182,fitur terbaik 7270 i5 ram8 128gb sepadan dengan harga good sesuai semua berjalan normal sesuai yg ada di deskripsi kok thanks seller,fitur terbaik 7270 i5 ram8 128gb sepadan dengan harga good sesuai semua berjalan normal sesuai yg ada di deskripsi kok thanks seller,22,positive,0.75,132,0.015151515151515152,0.09090909090909091,0.0,0.0,0.026515151515151516,0
dwirentiangraini_,"Fitur Terbaik:SSD
Sepadan dengan Harga:3,6 jt

Walaupun second tapi kualitas ngga diragukan ; bagus banget la,, lecet sedikit bagian samping tapi its okay,, kualitas tetap terjamin,, admin tokonya juga fast respon untuk bertanya"", Thanyou💚",5,9,1761607834,fitur terbaik ssd sepadan dengan harga 3 6 jt walaupun second tapi kualitas ngga diragukan bagus banget la lecet sedikit bagian samping tapi its okay kualitas tetap terjamin admin tokonya juga fast respon untuk bertanya thanyou,fitur terbaik ssd sepadan dengan harga 3 6 jt walaupun second tapi kualitas ngga diragukan bagus banget la lecet sedikit bagian samping tapi its okay kualitas tetap terjamin admin tokonya juga fast respon untuk bertanya thanyou,36,positive,0.75,227,0.00881057268722467,0.1111111111111111,0.0,0.0,0.029980420949583943,0
m*****e,"Sepadan dengan Harga:harga murah meriah sangat terjangkau dan berkualitas aman dan nyaman layanan terbwaiiiik
Fitur Terbaik:laptop ringan dan tahan banting aman dan nyaman. dibawa kemana mana dan tahan getar",5,14,1764554574,sepadan dengan harga harga murah meriah sangat terjangkau dan berkualitas aman dan nyaman layanan terbwaiiiik fitur terbaik laptop ringan dan tahan banting aman dan nyaman dibawa kemana mana dan tahan getar,sepadan dengan harga harga murah meriah sangat terjangkau dan berkualitas aman dan nyaman layanan terbwaiiiik fitur terbaik laptop ringan dan tahan banting aman dan nyaman dibawa kemana mana dan tahan getar,31,neutral,0.55,206,0.014563106796116505,0.41935483870967744,0.0,0.0,0.10847948637644848,0
sisil_lia12,"Desain:bagus
Kondisi Barang:packing aman
Fungsi:beroperasi dengan baik

Kondisi barang oke, walaupun laptop bekas tapi kualitas oke, baterai juga normal, keren sih tidak mengecewakan. Terima kasih seller",5,2,1764554599,desain bagus kondisi barang packing aman fungsi beroperasi dengan baik kondisi barang oke walaupun laptop bekas tapi kualitas oke baterai juga normal keren sih tidak mengecewakan terima kasih seller,desain bagus kondisi barang packing aman fungsi beroperasi dengan baik kondisi barang oke walaupun laptop bekas tapi kualitas oke baterai juga normal keren sih tidak mengecewakan terima kasih seller,29,neutral,0.55,198,0.005050505050505051,0.20689655172413793,0.0,0.0,0.052986764193660746,0
tknfs5r,"Desain:menarik
Kondisi Barang:mendarat dengan selamat,, barang mulus,, packingan rapihh bgtt🥰
Fungsi:barang bekerja dengan baik

Pertama kali mesen laptop di shoppee,, awalnya ragu² tapi alhamdulillah kondisi barang sangat memuaskan👍👍👍🤗🥰
Thanksss😍",5,2,1764491291,desain menarik kondisi barang mendarat dengan selamat barang mulus packingan rapihh bgtt fungsi barang bekerja dengan baik pertama kali mesen laptop di shoppee awalnya ragu tapi alhamdulillah kondisi barang sangat memuaskan thanksss,desain menarik kondisi barang mendarat dengan selamat barang mulus packingan rapihh bgtt fungsi barang bekerja dengan baik pertama kali mesen laptop di shoppee awalnya ragu tapi alhamdulillah kondisi barang sangat memuaskan thanksss,32,neutral,0.55,232,0.03017241379310345,0.25,0.0,0.0,0.07004310344827586,0
sc_multimedia,"Fitur Terbaik:terbaik
Sepadan dengan Harga:sangat sepadan

Packing rapi dan aman banget dibungkus dengan plastik dan bubble wrap berlapis sehingga aman dari benturan dan hujan deras sekalipun. Barang berkualitas bagus sesuai dengan diskripsi dan spesifikasi. Seller humble banget dan fast respon. Recommended seller deh pokoknya.",5,7,1742186355,fitur terbaik terbaik sepadan dengan harga sangat sepadan packing rapi dan aman banget dibungkus dengan plastik dan bubble wrap berlapis sehingga aman dari benturan dan hujan deras sekalipun barang berkualitas bagus sesuai dengan diskripsi dan spesifikasi seller humble banget dan fast respon recommended seller deh pokoknya,fitur terbaik terbaik sepadan dengan harga sangat sepadan packing rapi dan aman banget dibungkus dengan plastik dan bubble wrap berlapis sehingga aman dari benturan dan hujan deras sekalipun barang berkualitas bagus sesuai dengan diskripsi dan spesifikasi seller humble banget dan fast respon recommended seller deh pokoknya,46,positive,0.75,324,0.015432098765432098,0.391304347826087,0.0,0.0,0.10168411164787977,0
rnfarah06,"Fitur Terbaik:bagus banget!
Sepadan dengan Harga:super worth it

Gila ini sih keren abis, beli laptop second kondisi mulusnya mulus parah gada gompal baret dll itu bersih. Alhamdulillah sesuai sm yg di inginkan dan pengiriman super cepet. Checkout siang sore sampe! Makasih banyak bgt buat seller semoga selalu amanah yaaa(⁠◍⁠•⁠ᴗ⁠•⁠◍⁠)⁠❤",5,39,1755915870,fitur terbaik bagus banget sepadan dengan harga super worth it gila ini sih keren abis beli laptop second kondisi mulusnya mulus parah gada gompal baret dll itu bersih alhamdulillah sesuai sm yg di inginkan dan pengiriman super cepet checkout siang sore sampe makasih banyak bgt buat seller semoga selalu amanah yaaa,fitur terbaik bagus banget sepadan dengan harga super worth it gila ini sih keren abis beli laptop second kondisi mulusnya mulus parah gada gompal baret dll itu bersih alhamdulillah sesuai sm yg di inginkan dan pengiriman super cepet checkout siang sore sampe makasih banyak bgt buat seller semoga selalu amanah yaaa,51,positive,0.75,316,0.015822784810126583,0.0392156862745098,0.0,0.0,0.013759617771159097,0
wiwiqdwilistrian,"Kondisi Barang:bagus sesuai harga 😊
Desain:pada umumnya
Kualitas:masih bagus

seller baik gercep😀.
terimakasih seller.aq ngga tau harus gimana kl laptop blm sampai malem itu soalnya mau buat anakku ujian, untungnya sellernya baik.
Abang kurirnya jg baik 1 jam'anlah sampai dgn selamat, terimakasih Abang kurirnya👍🏻",5,5,1743527845,kondisi barang bagus sesuai harga desain pada umumnya kualitas masih bagus seller baik gercep terimakasih seller aq ngga tau harus gimana kl laptop blm sampai malem itu soalnya mau buat anakku ujian untungnya sellernya baik abang kurirnya jg baik 1 jam anlah sampai dgn selamat terimakasih abang kurirnya,kondisi barang bagus sesuai harga desain pada umumnya kualitas masih bagus seller baik gercep terimakasih seller aq ngga tau harus gimana kl laptop blm sampai malem itu soalnya mau buat anakku ujian untungnya sellernya baik abang kurirnya jg baik 1 jam anlah sampai dgn selamat terimakasih abang kurirnya,48,positive,0.75,304,0.01644736842105263,0.3125,0.0,0.0,0.08223684210526316,0
baidi78,"Fitur Terbaik:mantab
Sepadan dengan Harga:sesuai

Terimakasih laptop sudah sampai, packing aman langsung tes mantab, suara bagus gak pecah pokok recommend 👍👍👍semoga awet....",5,1,1742011134,fitur terbaik mantab sepadan dengan harga sesuai terimakasih laptop sudah sampai packing aman langsung tes mantab suara bagus gak pecah pokok recommend semoga awet,fitur terbaik mantab sepadan dengan harga sesuai terimakasih laptop sudah sampai packing aman langsung tes mantab suara bagus gak pecah pokok recommend semoga awet,24,positive,0.75,163,0.006134969325153374,0.08333333333333333,0.0,0.0,0.022367075664621677,0
ajivalentino99,"Fitur Terbaik:pengiriman cepat, barang mulus kek baru👍👍",5,7,1757636165,fitur terbaik pengiriman cepat barang mulus kek baru,fitur terbaik pengiriman cepat barang mulus kek baru,8,positive,0.75,52,0.0,0.0,0.0,0.0,0.0,0
ajengratna95,"Desain:Second rasa baru
Kondisi Barang:Mulus 95%
Fungsi:Sejauh ini berfungsi semua, dapet tas & charger, laptop gak lemot, semoga awet & paksu suka, hadiah anniv ke 3 untuk kerjaan dia, seller responsif & baik bgt ramah, sukses selalu tokonya:)",5,1,1750423720,desain second rasa baru kondisi barang mulus 95 fungsi sejauh ini berfungsi semua dapet tas charger laptop gak lemot semoga awet paksu suka hadiah anniv ke 3 untuk kerjaan dia seller responsif baik bgt ramah sukses selalu tokonya,desain second rasa baru kondisi barang mulus 95 fungsi sejauh ini berfungsi semua dapet tas charger laptop gak lemot semoga awet paksu suka hadiah anniv ke 3 untuk kerjaan dia seller responsif baik bgt ramah sukses selalu tokonya,38,neutral,0.55,229,0.013100436681222707,0.0,0.0,0.0,0.0032751091703056767,0
gitaayulia,"Alhamdulillah mendarat dengan sempurna, laptop nya bagus, aku suka. Semoga longlast amin...
Terimakasih seller, seller cepat tanggap ramah dan selalu menjawab dengan baik, terimakasih seller.",5,11,1763957778,alhamdulillah mendarat dengan sempurna laptop nya bagus aku suka semoga longlast amin terimakasih seller seller cepat tanggap ramah dan selalu menjawab dengan baik terimakasih seller,alhamdulillah mendarat dengan sempurna laptop nya bagus aku suka semoga longlast amin terimakasih seller seller cepat tanggap ramah dan selalu menjawab dengan baik terimakasih seller,25,positive,0.75,182,0.027472527472527472,0.28,0.0,0.0,0.07686813186813188,0
diansuryatmojo,"Desain:bagus
Kondisi Barang:baik
Kualitas:sesuai

Paket sudah sampai sesuai pesanan respon penjual cepat kulitas barang bagus pengiriman cepat mantappp",5,1,1741767010,desain bagus kondisi barang baik kualitas sesuai paket sudah sampai sesuai pesanan respon penjual cepat kulitas barang bagus pengiriman cepat mantappp,desain bagus kondisi barang baik kualitas sesuai paket sudah sampai sesuai pesanan respon penjual cepat kulitas barang bagus pengiriman cepat mantappp,21,positive,0.75,150,0.013333333333333334,0.38095238095238093,0.0,0.0,0.09857142857142856,0
zaibinsenen,"Desain:sangat baik
Kondisi Barang:datang dengan mulus dan baik
Kualitas:sangat memuaskan

Toko respon dengan baik dan ramah.
Barang tidak diragukan kualitas joss.
Rekomendasi dah buat yang sedang nyari.
Semoga awet. 🤲",5,0,1741765800,desain sangat baik kondisi barang datang dengan mulus dan baik kualitas sangat memuaskan toko respon dengan baik dan ramah barang tidak diragukan kualitas joss rekomendasi dah buat yang sedang nyari semoga awet,desain sangat baik kondisi barang datang dengan mulus dan baik kualitas sangat memuaskan toko respon dengan baik dan ramah barang tidak diragukan kualitas joss rekomendasi dah buat yang sedang nyari semoga awet,32,negative,0.75,210,0.004761904761904762,0.40625,0.0,1.0,0.3027529761904762,0
nurdinpolman311285,"Sepadan dengan Harga:kualitasnya melebihi harga 👍

Barang sampai dengan baik, packing mantap, laptop sesuai harapan",5,2,1753199790,sepadan dengan harga kualitasnya melebihi harga barang sampai dengan baik packing mantap laptop sesuai harapan,sepadan dengan harga kualitasnya melebihi harga barang sampai dengan baik packing mantap laptop sesuai harapan,15,positive,0.75,110,0.0,0.26666666666666666,0.0,0.0,0.06666666666666667,0
b*****a,"Fitur Terbaik:sampai saat ini masih oke
Sepadan dengan Harga:sesuai

Belum periksa semua, semoga awet. Terima kasih pesanannya tidak salah. Packingnya aman, bubble wrapnya tebal. Dapat tas juga",5,24,1748586683,fitur terbaik sampai saat ini masih oke sepadan dengan harga sesuai belum periksa semua semoga awet terima kasih pesanannya tidak salah packingnya aman bubble wrapnya tebal dapat tas juga,fitur terbaik sampai saat ini masih oke sepadan dengan harga sesuai belum periksa semua semoga awet terima kasih pesanannya tidak salah packingnya aman bubble wrapnya tebal dapat tas juga,29,positive,0.75,187,0.016042780748663103,0.0,0.0,0.0,0.004010695187165776,0
r*****i,"Fitur Terbaik:mantapppp
Sepadan dengan Harga:sesuai

Terima kasih shoppe.. sukses terus usahanya.. barang datang mulus tidak ada kendala .. packing rapih dan tebal .. ga takut rusak .. kiriman sesuai pesanan 🥰🙏🏼",5,18,1742186754,fitur terbaik mantapppp sepadan dengan harga sesuai terima kasih shoppe sukses terus usahanya barang datang mulus tidak ada kendala packing rapih dan tebal ga takut rusak kiriman sesuai pesanan,fitur terbaik mantapppp sepadan dengan harga sesuai terima kasih shoppe sukses terus usahanya barang datang mulus tidak ada kendala packing rapih dan tebal ga takut rusak kiriman sesuai pesanan,29,neutral,0.55,193,0.02072538860103627,0.06896551724137931,0.0,0.0,0.022422726460603896,0
acuzrd,"Fitur Terbaik:bagus. sesuai deskripsi
Sepadan dengan Harga:sangat sepadan

Barang oke, sangat puas. Semoga awet",5,27,1764468543,fitur terbaik bagus sesuai deskripsi sepadan dengan harga sangat sepadan barang oke sangat puas semoga awet,fitur terbaik bagus sesuai deskripsi sepadan dengan harga sangat sepadan barang oke sangat puas semoga awet,16,positive,0.75,107,0.0,0.25,0.0,0.0,0.0625,0
ngelapak.store,"Fitur Terbaik:Gesit anti lelet
Sepadan dengan Harga:Murah

The best ini, barang mulus ga ada cacat sedikitpun seperti baru, udah langganan  jg disini penjualnya amanah krn banyak teman teman kantor beli disini, recomended banget.. semoga awet.. Aamiin",5,14,1763957773,fitur terbaik gesit anti lelet sepadan dengan harga murah the best ini barang mulus ga ada cacat sedikitpun seperti baru udah langganan jg disini penjualnya amanah krn banyak teman teman kantor beli disini recomended banget semoga awet aamiin,fitur terbaik gesit anti lelet sepadan dengan harga murah the best ini barang mulus ga ada cacat sedikitpun seperti baru udah langganan jg disini penjualnya amanah krn banyak teman teman kantor beli disini recomended banget semoga awet aamiin,38,neutral,0.55,242,0.012396694214876033,0.10526315789473684,0.0,0.0,0.029414963027403217,0
a*****i,"Sepadan dengan Harga:harga sesuai dengan kualitas

fisik OK mulus, ga keliatan second, recommended 👆",5,2,1742009893,sepadan dengan harga harga sesuai dengan kualitas fisik ok mulus ga keliatan second recommended,sepadan dengan harga harga sesuai dengan kualitas fisik ok mulus ga keliatan second recommended,14,positive,0.75,95,0.010526315789473684,0.2857142857142857,0.0,0.0,0.07406015037593984,0
j*****g,"Desain:sangat menarik dan puas
Kondisi Barang:datang dalam keadaan tidak cacat
Fungsi:berfungsi semua dengan baik

Barang telah sampai ketujuan dengan selamat tanpa kekurangan apapun. Waktu pengiriman tepat waktu. Packaging rapi dan tidak rusak. Barang dicek aman. Cukup puas dengan produknya. Kualitas sesuai dengan harganya. Terima kasih buat seller karena sudan amanah. Semoga lancar selalu. Good Jobbb!!!",5,2,1750910660,desain sangat menarik dan puas kondisi barang datang dalam keadaan tidak cacat fungsi berfungsi semua dengan baik barang telah sampai ketujuan dengan selamat tanpa kekurangan apapun waktu pengiriman tepat waktu packaging rapi dan tidak rusak barang dicek aman cukup puas dengan produknya kualitas sesuai dengan harganya terima kasih buat seller karena sudan amanah semoga lancar selalu good jobbb,desain sangat menarik dan puas kondisi barang datang dalam keadaan tidak cacat fungsi berfungsi semua dengan baik barang telah sampai ketujuan dengan selamat tanpa kekurangan apapun waktu pengiriman tepat waktu packaging rapi dan tidak rusak barang dicek aman cukup puas dengan produknya kualitas sesuai dengan harganya terima kasih buat seller karena sudan amanah semoga lancar selalu good jobbb,58,positive,0.75,396,0.012626262626262626,0.25862068965517243,0.0,0.0,0.06781173807035877,0
indahtridiana,"Fitur Terbaik:kondisi barang tiba bagus
Sepadan dengan Harga:terjangkau dan sesuai dengan kualitas

kondisi barang unit masih bagus walaupun second dan masih sangat layak untuk dipakai untuk keperluan kantor dan sekolah biasa.
untuk speaker masih bagus dan kondisi battery masih awet",5,8,1747389646,fitur terbaik kondisi barang tiba bagus sepadan dengan harga terjangkau dan sesuai dengan kualitas kondisi barang unit masih bagus walaupun second dan masih sangat layak untuk dipakai untuk keperluan kantor dan sekolah biasa untuk speaker masih bagus dan kondisi battery masih awet,fitur terbaik kondisi barang tiba bagus sepadan dengan harga terjangkau dan sesuai dengan kualitas kondisi barang unit masih bagus walaupun second dan masih sangat layak untuk dipakai untuk keperluan kantor dan sekolah biasa untuk speaker masih bagus dan kondisi battery masih awet,42,positive,0.75,281,0.0035587188612099642,0.5,0.0,0.0,0.1258896797153025,0
indra_mutiaraf,Alhamdulillah brg dah keterima dgn baik...mantap brgnya...sempet ragu jg karena blm pernah....rekomendasi untuk yg selanjutnya...mksh seller,5,8,1758082042,alhamdulillah brg dah keterima dgn baik mantap brgnya sempet ragu jg karena blm pernah rekomendasi untuk yg selanjutnya mksh seller,alhamdulillah brg dah keterima dgn baik mantap brgnya sempet ragu jg karena blm pernah rekomendasi untuk yg selanjutnya mksh seller,20,positive,0.75,131,0.015267175572519083,0.0,0.0,0.0,0.003816793893129771,0
c*****8,"Nyampenya cepet bgt, packing nya Aman.. semga awet😇..terimakasih seller",5,3,1742187849,nyampenya cepet bgt packing nya aman semga awet terimakasih seller,nyampenya cepet bgt packing nya aman semga awet terimakasih seller,10,neutral,0.55,66,0.015151515151515152,0.0,0.0,0.0,0.003787878787878788,0
enyrohyati,"Fitur Terbaik:touchscreen
Sepadan dengan Harga:sangat murah pas dikantong

Ini mah paket lengkap. Udah spesifikasi jangan diragukan lagi. Untuk barang kayak masih baru no lecet. Pengemasan juga aman banget 5 lapis bubble wrap. Pengiriman juga cepat banget 3 hari sampai Kalimantan barat. Gak nyesel pokoknya beli disini",3,45,1764213780,fitur terbaik touchscreen sepadan dengan harga sangat murah pas dikantong ini mah paket lengkap udah spesifikasi jangan diragukan lagi untuk barang kayak masih baru no lecet pengemasan juga aman banget 5 lapis bubble wrap pengiriman juga cepat banget 3 hari sampai kalimantan barat gak nyesel pokoknya beli disini,fitur terbaik touchscreen sepadan dengan harga sangat murah pas dikantong ini mah paket lengkap udah spesifikasi jangan diragukan lagi untuk barang kayak masih baru no lecet pengemasan juga aman banget 5 lapis bubble wrap pengiriman juga cepat banget 3 hari sampai kalimantan barat gak nyesel pokoknya beli disini,48,positive,0.75,313,0.006389776357827476,0.08333333333333333,0.0,0.0,0.0224307774227902,0
